"OutputID","CalcUsing","DocID","StockID","Qty","SellingQty","ActualQty","Ratio","ContainerID","IsPrimaryOutput","Step","Status","ByProductOfID","ToolID","StockIDTrail","QtyPer"
"17207","Qty","15804","3561","1040.0","1040.0","1040.0","1.0","4","1","","","","","",""
"17208","Qty","15805","3409","100.0","100.0","100.0","1.0","4","1","","","","","",""
"17209","Qty","15807","3147","34.0","34.0","34.0","1.0","4","1","","","","","",""
"17210","Qty","15808","3147","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17211","Qty","16342","3722","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17212","Qty","16343","3722","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17213","Qty","16344","3722","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17214","Qty","16345","3722","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17215","Qty","16347","3722","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17216","Qty","16348","3378","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17217","Qty","16349","3378","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17218","Qty","16350","3378","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17219","Qty","16351","3378","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17220","Qty","16352","3378","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17221","Qty","16353","3378","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17222","Qty","16354","3722","25.0","25.0","25.0","1.0","3","1","","","","","",""
"17223","Qty","16355","3378","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17224","Qty","16356","3722","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17225","Qty","16357","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17226","Qty","16358","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17227","Qty","16359","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17228","Qty","16409","3117","100.0","100.0","100.0","1.0","4","1","","","","","",""
"17229","Qty","16410","3568","38.0","38.0","38.0","1.0","4","1","","","","","",""
"17230","Qty","16411","3568","38.0","38.0","38.0","1.0","4","1","","","","","",""
"17231","Qty","16416","3197","200.0","200.0","200.0","1.0","4","1","","","","","",""
"17232","Qty","16417","3561","200.0","200.0","200.0","1.0","4","1","","","","","",""
"17233","Qty","16418","3197","375.0","375.0","375.0","1.0","4","1","","","","","",""
"17234","Qty","16419","3197","100.0","100.0","100.0","1.0","4","1","","","","","",""
"17235","Qty","16434","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17236","Qty","16446","3103","10.0","10.0","10.0","1.0","4","1","","","","","",""
"17237","Qty","16507","3762","10.0","10.0","10.0","1.0","4","1","","","","","",""
"17238","Qty","16509","3740","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17239","Qty","16511","3380","100.0","100.0","100.0","1.0","4","1","","","","","",""
"17240","Qty","16512","3664","37.0","37.0","37.0","1.0","4","1","","","","","",""
"17241","Qty","16513","3067","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17242","Qty","16514","3067","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17243","Qty","16515","3067","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17244","Qty","16516","3197","168.0","168.0","168.0","1.0","4","1","","","","","",""
"17245","Qty","16517","3197","46.25","46.25","46.25","1.0","4","1","","","","","",""
"17246","Qty","16518","3033","500.0","500.0","500.0","1.0","4","1","","","","","",""
"17247","Qty","16519","3197","341.0","341.0","341.0","1.0","4","1","","","","","",""
"17248","Qty","16525","3197","200.0","200.0","200.0","1.0","4","1","","","","","",""
"17249","Qty","16526","3561","300.0","300.0","300.0","1.0","4","1","","","","","",""
"17250","Qty","16527","3562","50.0","50.0","50.0","1.0","4","1","","","","","",""
"17251","Qty","16528","3197","300.0","300.0","300.0","1.0","4","1","","","","","",""
"17252","Qty","16529","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17253","Qty","16530","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17254","Qty","16531","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17255","Qty","16532","3421","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17256","Qty","16533","3524","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17257","Qty","16534","3197","500.0","500.0","500.0","1.0","4","1","","","","","",""
"17258","Qty","16535","3117","300.0","300.0","300.0","1.0","4","1","","","","","",""
"17259","Qty","16536","3740","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17260","Qty","16537","3742","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17261","Qty","16539","3197","600.0","600.0","600.0","1.0","4","1","","","","","",""
"17262","Qty","16540","3197","600.0","600.0","600.0","1.0","4","1","","","","","",""
"17263","Qty","16541","3157","75.0","75.0","75.0","1.0","4","1","","","","","",""
"17264","Qty","16542","3158","50.0","50.0","50.0","1.0","4","1","","","","","",""
"17265","Qty","16543","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17266","Qty","16544","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17267","Qty","16545","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17268","Qty","16546","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17269","Qty","16547","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17270","Qty","16548","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17271","Qty","16549","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17272","Qty","16550","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17273","Qty","16551","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17274","Qty","16552","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17275","Qty","16553","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17276","Qty","16554","3377","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17277","Qty","16555","3377","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17278","Qty","16556","3377","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17279","Qty","16557","3741","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17280","Qty","16558","3377","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17281","Qty","16559","3741","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17282","Qty","16560","3377","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17283","Qty","16561","3377","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17284","Qty","16562","3740","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17285","Qty","16563","3740","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17286","Qty","16564","3197","300.0","300.0","300.0","1.0","4","1","","","","","",""
"17287","Qty","16565","3561","100.0","100.0","100.0","1.0","4","1","","","","","",""
"17288","Qty","16384","3721","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17289","Qty","16404","3197","300.0","300.0","300.0","1.0","4","1","","","","","",""
"17290","Qty","16468","3342","28.0","28.0","28.0","1.0","4","1","","","","","",""
